,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
21,@Airtel_Presence Between 10am to 11am tomorrow should be fine. Thank you,FALSE,0,Airtel_Presence,04-04-2017 18:50,FALSE,8.49333E+17,8.49333E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Moto_morpher,0,FALSE,FALSE,NA,NA
22,@Airtel_Presence @airtelindia u tried 2cheat me that's why I've sent u proof the offer given 2me bt u don't reply me .,FALSE,0,Airtel_Presence,04-04-2017 18:50,FALSE,NA,8.49333E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tiwari_tribhu,0,FALSE,FALSE,NA,NA
23,"@Airtel_Presence airtel doesent bother to reply, now i will have to ask them again n agin to reply for the tweet.",FALSE,0,Airtel_Presence,04-04-2017 18:49,FALSE,NA,8.49333E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12_mahima,0,FALSE,FALSE,NA,NA
24,@Airtel_Presence @airtelindia  in Airtel payment app -&gt;mobile bill payment section we have Airtel (provider) only y others not thr?,FALSE,0,Airtel_Presence,04-04-2017 18:49,FALSE,NA,8.49333E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sivagangireddy,0,FALSE,FALSE,NA,NA
25,"Hello @Airtel_Presence, please assist @md_ashraf89 with the complaint below. Thank you.",FALSE,0,md_ashraf89,04-04-2017 18:45,FALSE,8.49331E+17,8.49332E+17,2851447070,"<a href=""http://aegislisa.com"" rel=""nofollow"">aegislisa</a>",airtel_care,0,FALSE,FALSE,NA,NA
26,@Airtel_Presence suffering from your services.If you don't want to 1 more customers then contact at 9996018749,FALSE,0,Airtel_Presence,04-04-2017 18:43,FALSE,NA,8.49332E+17,103323813,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",Aakershitk,0,FALSE,FALSE,NA,NA
27,So after I have ported my number from @VodafoneIN to @Airtel_Presence - after Airtel adverts for 5 minutes - the call disconnects. Mistake?,FALSE,0,NA,04-04-2017 18:41,FALSE,NA,8.49331E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vivekrajindia,0,FALSE,FALSE,NA,NA
28,@Airtel_Presence I already have shared many times you are always replying with the same quotes this shows how much… https://t.co/KTBxjgV3PB,FALSE,0,Airtel_Presence,04-04-2017 18:39,TRUE,8.4933E+17,8.49331E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arju1901,0,FALSE,FALSE,NA,NA
29,@Airtel_Presence you have introduced 1GB per day plan But not for those who use more data. How cheap is tis. U shld be thrown out of India.,FALSE,0,Airtel_Presence,04-04-2017 18:39,FALSE,NA,8.49331E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",naveenkumar260,0,FALSE,FALSE,NA,NA
30,@Airtel_Presence I given complaint before 7 days till now not getting solution your  Css is fail,FALSE,0,Airtel_Presence,04-04-2017 18:36,FALSE,NA,8.4933E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yogesh982819302,0,FALSE,FALSE,NA,NA
31,@Airtel_Presence 11:00 AM,FALSE,0,Airtel_Presence,04-04-2017 18:36,FALSE,8.4933E+17,8.4933E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RChoudhri,0,FALSE,FALSE,NA,NA
32,@Airtel_Presence I want to convert my postpaid no.8170034420 to prepaid.visited 23March asked me to come 4April but… https://t.co/FpsedJBqD1,FALSE,0,ashishburnpur1,04-04-2017 18:35,TRUE,8.49329E+17,8.4933E+17,494856074,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ashishburnpur1,0,FALSE,FALSE,NA,NA
33,"@Airtel_Presence customer care itself doesn't have a response, ashamed of being airtel customer,all bogus promises,shut down airtel forever",FALSE,0,Airtel_Presence,04-04-2017 18:34,FALSE,NA,8.49329E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",salman9999,0,FALSE,FALSE,NA,NA
34,"@Airtel_Presence changed network frm Tata to airtel but no network yet ?? Being with airtel is a big mistake itself, pathetic airtel always",FALSE,0,Airtel_Presence,04-04-2017 18:33,FALSE,NA,8.49329E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",salman9999,0,FALSE,FALSE,NA,NA
35,"Hello @Airtel_Presence, kindly assist @prateekarya1989 with stated issue. Thank you.",FALSE,0,NA,04-04-2017 18:33,FALSE,NA,8.49329E+17,NA,"<a href=""http://aegislisa.com"" rel=""nofollow"">aegislisa</a>",airtel_care,0,FALSE,FALSE,NA,NA
36,@Airtel_Presence Very rude behaviour of Asansol gallery. Not willing to do my postpaid no.8170034420.Suman Roy's behaviour is unacceptable.,FALSE,0,Airtel_Presence,04-04-2017 18:32,FALSE,NA,8.49329E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ashishburnpur1,0,FALSE,FALSE,NA,NA
37,@Airtel_Presence 8003601152,FALSE,0,Mpnksharma,04-04-2017 18:31,FALSE,8.49328E+17,8.49329E+17,7.88011E+17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",Mpnksharma,0,FALSE,FALSE,NA,NA
38,"@Airtel_Presence Vikas,Airtel phd.The refund is only dragging.Someone has to step it up.My 2nbrs hv diff tariffs.RC hv no talk time.Y use it",FALSE,0,Airtel_Presence,04-04-2017 18:31,FALSE,NA,8.49329E+17,103323813,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",socyfedn,0,FALSE,FALSE,NA,NA
39,@Airtel_Presence @Mpnksharma,FALSE,0,Airtel_Presence,04-04-2017 18:31,FALSE,8.49078E+17,8.49328E+17,103323813,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Mpnksharma,0,FALSE,FALSE,NA,NA
40,@Airtel_Presence just got ported. Not able to receive and send sms. Customer care unable to resolve this issue.,FALSE,0,Airtel_Presence,04-04-2017 18:30,FALSE,NA,8.49328E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",prateekarya1989,0,FALSE,FALSE,NA,NA
41,@Airtel_Presence You can connect with me tomorrow anytime between 12pm-5pm. #Bye,FALSE,0,Airtel_Presence,04-04-2017 18:28,FALSE,8.49328E+17,8.49328E+17,103323813,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iAbhishhek,0,FALSE,FALSE,NA,NA
42,"Hello @Airtel_Presence, please assist @NandhaAshok with the stated complaint. Thank you.",FALSE,0,NandhaAshok,04-04-2017 18:23,FALSE,8.49326E+17,8.49327E+17,2243912617,"<a href=""http://aegislisa.com"" rel=""nofollow"">aegislisa</a>",airtel_care,0,FALSE,FALSE,NA,NA
43,"@Airtel_Presence @airtel_care @airtelnews 
@airtelindia airtel @Airtel_Presence",FALSE,0,NandhaAshok,04-04-2017 18:20,FALSE,8.49326E+17,8.49326E+17,2243912617,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NandhaAshok,0,FALSE,FALSE,NA,NA
44,@Airtel_Presence you have provided 10 gb each mnt. to me but internet is not https://t.co/GcORKLyb7p a days airtel is one of the bad operter,FALSE,0,Airtel_Presence,04-04-2017 18:18,FALSE,NA,8.49325E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cskaran2010,0,FALSE,FALSE,NA,NA
45,@Airtel_Presence Our user Dheeraj  has a feedback: Details are in DM Id:2B002 #SpeakUp,FALSE,0,Airtel_Presence,04-04-2017 18:17,FALSE,NA,8.49325E+17,103323813,"<a href=""https://speak-up.in"" rel=""nofollow"">SpeakUp_IN</a>",SpeakUp_IN,0,FALSE,FALSE,NA,NA
46,RT @amit_singh88: @Airtel_Presence I don't understand that why you people ask for contact number of you can't resolve the queries,FALSE,0,NA,04-04-2017 18:16,FALSE,NA,8.49325E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,1,TRUE,FALSE,NA,NA
47,"@Nickbt25 @Airtel_Presence <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> forget it, I made a request on 15th nothing moved yet so I #quitairtel after 10yrs?… https://t.co/6glyoxcDDX",FALSE,0,Nickbt25,04-04-2017 18:15,TRUE,8.49144E+17,8.49325E+17,2963529728,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,0,FALSE,FALSE,NA,NA
48,"@Airtel_Presence  
U are claiming for best and fast network but in my place even there is no single network even in 50 meter.
Very bad .",FALSE,0,Airtel_Presence,04-04-2017 18:15,FALSE,NA,8.49325E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KaranSuri15,0,FALSE,FALSE,NA,NA
49,What a great speed Airtel!! Global leader in speed test Ookla says. @Airtel_Presence https://t.co/QfZLtlGe0B,FALSE,0,NA,04-04-2017 18:14,FALSE,NA,8.49324E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Aloneir,0,FALSE,FALSE,NA,NA
50,"@Airtel_Presence ,@airtelindia THIRD CLASS NETWORK!!!!!",FALSE,0,Airtel_Presence,04-04-2017 18:13,FALSE,NA,8.49324E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SayyaAbdulmugni,0,FALSE,FALSE,NA,NA
51,@Airtel_Presence little wind and the dish does not get any signals. Complained so many times since it is installed on a weak wall. #totalbs,FALSE,0,Airtel_Presence,04-04-2017 18:13,FALSE,NA,8.49324E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PeverellIgnotus,0,FALSE,FALSE,NA,NA
52,RT @suresh1189: @Airtel_Presence @airtelindia @airtelnews @TRAI @DoT_India @jagograhakjago My issue is not resolved by #airtel they are not…,FALSE,0,NA,04-04-2017 18:13,FALSE,NA,8.49324E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rohit_pareek,2,TRUE,FALSE,NA,NA
53,RT @Nickbt25: @Airtel_Presence  i had raised a request to relocate connection on march 30...no action yet from ur side. can u check?,FALSE,0,NA,04-04-2017 18:12,FALSE,NA,8.49324E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,1,TRUE,FALSE,NA,NA
54,RT @kcrajput: Download speed 0.21mbps which was 18mbps around 15 days ago. #Airtel #AirtelFastestAgain #airtelFake @Airtel_Presence https:/…,FALSE,0,NA,04-04-2017 18:12,FALSE,NA,8.49324E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rohit_pareek,1,TRUE,FALSE,NA,NA
55,These new @Airtel_Presence  advertisements are nothing but simple branding exercise... For Ookla..,FALSE,0,NA,04-04-2017 18:12,FALSE,NA,8.49324E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cooldivay,0,FALSE,FALSE,NA,NA
56,@Airtel_Presence #slow_airtel https://t.co/9zh1mkIyTe,FALSE,0,Airtel_Presence,04-04-2017 18:12,FALSE,NA,8.49324E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rohit_pareek,0,FALSE,FALSE,NA,NA
57,RT @profanilgomes: No attempt from @airtelindia @Airtel_Presence to address my yesterday's complaint. Online complaint page not registering…,FALSE,0,NA,04-04-2017 18:11,FALSE,NA,8.49324E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,3,TRUE,FALSE,NA,NA
58,RT @vineet_183: @Airtel_Presence @gtmvrm https://t.co/8Q2v9qDKRF,FALSE,0,NA,04-04-2017 18:11,FALSE,NA,8.49324E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,2,TRUE,FALSE,NA,NA
59,RT @vineet_183: @Airtel_Presence is a fraud. I hv lodged complaint  against them 4 fraudulent bill charged. @gtmvrm beware of Airtel,FALSE,0,NA,04-04-2017 18:10,FALSE,NA,8.49323E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,1,TRUE,FALSE,NA,NA
60,"@Airtel_Presence India's fastest newtwork , my DTH is not working due to bad signal",FALSE,0,Airtel_Presence,04-04-2017 18:10,FALSE,NA,8.49323E+17,103323813,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",akstheajay,0,FALSE,FALSE,NA,NA
61,RT @hillsay: @Airtel_Presence I have been cheated by @airtelindia don't believe in any offer or u will be cheated .,FALSE,0,NA,04-04-2017 18:09,FALSE,NA,8.49323E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,1,TRUE,FALSE,NA,NA
62,RT @Airtel_Presence: @go_kumaranil It's unfortunate that you had a bad experience with us. We will connect with you to address your query r…,FALSE,0,NA,04-04-2017 18:09,FALSE,NA,8.49323E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,1,TRUE,FALSE,NA,NA
63,RT @go_kumaranil: @Airtel_Presence Airtel is not customercentric it is moneycentric. It is least bothered about customers problems. Custome…,FALSE,0,NA,04-04-2017 18:09,FALSE,NA,8.49323E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ankrute,1,TRUE,FALSE,NA,NA
64,@Airtel_Presence @VodafoneIN Wow .. you guys are super slow in 3G ! all noise on customer service is such a waste !… https://t.co/n8LqzUQDjW,FALSE,0,rohit_pareek,04-04-2017 18:08,TRUE,8.47085E+17,8.49323E+17,96787343,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rohit_pareek,0,FALSE,FALSE,NA,NA
65,@Airtel_Presence No one contacted...day 3 and problem still not resolved,FALSE,0,Airtel_Presence,04-04-2017 18:07,FALSE,8.49275E+17,8.49322E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Varroon,0,FALSE,FALSE,NA,NA
66,@Airtel_Presence You can call me b/w 12pm to 6pm. I have given my no in pm thank you.,FALSE,0,Airtel_Presence,04-04-2017 18:06,FALSE,8.493E+17,8.49322E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AaAadish,0,FALSE,FALSE,NA,NA
67,@Airtel_Presence There's no option to connect to a customer care executive on 121 or 198. No response on private message in Twitter :/,FALSE,0,Airtel_Presence,04-04-2017 18:06,FALSE,NA,8.49322E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mahadeepRay,0,FALSE,FALSE,NA,NA
68,@Airtel_Presence You can call me b/w 12pm to 6pm. I have given my no in pm thank you.,FALSE,0,Airtel_Presence,04-04-2017 18:06,FALSE,8.493E+17,8.49322E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AaAadish,0,FALSE,FALSE,NA,NA
69,"@Airtel_Presence Ref44111110 as per last mail of resolving issue in 72 hrs, 96 hrs passed, still no solution. How m… https://t.co/4XgGY2s0mM",FALSE,0,Airtel_Presence,04-04-2017 17:59,TRUE,8.46745E+17,8.49321E+17,103323813,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HunnyXingh,0,FALSE,FALSE,NA,NA
70,@Airtel_Presence HOW THE HELL CAN I CONTACT YOUR CUSTOMER CARE EXECUTIVE?,FALSE,0,Airtel_Presence,04-04-2017 17:58,FALSE,NA,8.4932E+17,103323813,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",ZumurTaha,0,FALSE,FALSE,NA,NA
71,@Airtel_Presence This is my net speed during peek hours. After 1 am the speed is good https://t.co/7tNJ6FG3Gl,FALSE,0,Airtel_Presence,04-04-2017 17:57,FALSE,8.43975E+17,8.4932E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",moinu_khan,0,FALSE,FALSE,NA,NA
72,@Airtel_Presence Time to leave airtel after almost 10 years @airtelindia,FALSE,0,amberish1432,04-04-2017 17:55,FALSE,8.49319E+17,8.4932E+17,368820860,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",amberish1432,0,FALSE,FALSE,NA,NA
73,"@Airtel_Presence Ur irritating promo msz on everg call irritates me on every call , and absence of ur data natwork… https://t.co/n9euVZQnRK",FALSE,0,amberish1432,04-04-2017 17:54,TRUE,8.49319E+17,8.49319E+17,368820860,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",amberish1432,0,FALSE,FALSE,NA,NA
74,"@anamikadiaries @Airtel_Presence Airtel services are inferior. For last 10 days, they are not able solve 4G problem.",FALSE,0,anamikadiaries,04-04-2017 17:54,FALSE,8.49313E+17,8.49319E+17,320163760,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",officialanand,0,FALSE,FALSE,NA,NA
75,.@VodafoneIN @Airtel_Presence @airtelindia  @ideacellular  plz contact send plans  don't want stay useless company… https://t.co/3YTbotgtWz,FALSE,0,torahulsaxena11,04-04-2017 17:54,TRUE,8.49318E+17,8.49319E+17,195258741,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",torahulsaxena11,0,FALSE,FALSE,NA,NA
76,@Airtel_Presence Resolved. Thanks,FALSE,0,Airtel_Presence,04-04-2017 17:54,FALSE,8.48081E+17,8.49319E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iamshubham2508,0,FALSE,FALSE,NA,NA
77,@airtelindia @Airtel_Presence you guys have shut down internet in Ahmedabad for system upgrade without prior notice.. been 8 hours!,FALSE,0,airtelindia,04-04-2017 17:53,FALSE,NA,8.49319E+17,176355348,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NiravOza,0,FALSE,FALSE,NA,NA
78,"@Airtel_Presence  using dual sim JIO nd Airtel, both r all india calling and data free, m always using jio for both u thnk of ur quality",FALSE,0,Airtel_Presence,04-04-2017 17:53,FALSE,NA,8.49319E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",amberish1432,0,FALSE,FALSE,NA,NA
79,@Airtel_Presence The area branch offices bewildered us from 20 March but even now the no has not running. It's too much late.,FALSE,0,Airtel_Presence,04-04-2017 17:53,FALSE,8.4814E+17,8.49319E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shristripathy,0,FALSE,FALSE,NA,NA
80,"RT @GaganJips: Data connectivity on my mobile number 09815535235 not resorted despite complaint registered &amp; visited off
@Airtel_Presence…",FALSE,0,NA,04-04-2017 17:52,FALSE,NA,8.49319E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mikhailsad9,3,TRUE,FALSE,NA,NA
81,"@Airtel_Presence u won't let me pay off my dues &amp; dissociate, u won't stay true to the promises u make 2 retain me. What's ths new strategy?",FALSE,0,Airtel_Presence,04-04-2017 17:52,FALSE,NA,8.49319E+17,103323813,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",Debanjana9,0,FALSE,FALSE,NA,NA
82,"@Airtel_Presence even my identity documents are not being given back?
Is this legal?Shameless company airtel",FALSE,0,Airtel_Presence,04-04-2017 17:51,FALSE,NA,8.49319E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rocky67v,0,FALSE,FALSE,NA,NA
83,@Airtel_Presence,FALSE,0,Airtel_Presence,04-04-2017 17:51,FALSE,NA,8.49318E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",amberish1432,0,FALSE,FALSE,NA,NA
84,"@Airtel_Presence
I recharge 349 plan on 20 March. But airtel not give me my 1GB data per day..from 1st April.
Pls solve this",FALSE,0,Airtel_Presence,04-04-2017 17:50,FALSE,NA,8.49318E+17,103323813,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",rajatchinara,0,FALSE,FALSE,NA,NA
85,@Airtel_Presence 7500271321 is my idea no. Please tell me the reason why the number is not running in spite of doing all formalities.,FALSE,0,Airtel_Presence,04-04-2017 17:50,FALSE,8.4814E+17,8.49318E+17,103323813,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shristripathy,0,FALSE,FALSE,NA,NA
